ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,OPPORTUNITY NUMBER
YALE UNIVERSITY,9420201,5K08CA248725-05,Other Research-Related,11003312,"RICHMAN, ILANA",15430477,Supporting Personalized Decision Making for Breast Cancer Screening among Older Women,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$238,668 ","$18,919 ","$257,587 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/27/24,PA-19-117
YALE UNIVERSITY,9420201,5R01HD110059-03,RPGs - Non SBIR/STTR,11013367,"GREIF, DANIEL",8852846,Epigenetic-mediated Notch pathway activation promotes elastin aortopathy,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$351,796 ","$237,462 ","$589,258 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/10/25,PA-20-185
YALE UNIVERSITY,9420201,1R01DK139319-01A1,RPGs - Non SBIR/STTR,11050297,"CAPLAN, MICHAEL J.",1895525,Polycystin-1 C terminal tail cleavage: Mechanisms and meaning,CELLULAR AND MOLECULAR PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$382,090 ","$257,911 ","$640,001 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/19/24,PA-20-185
YALE UNIVERSITY,9420201,5K23DK136932-02,Other Research-Related,11051909,"HARVANEK, ZACHARY MATHIAS",10852231,Psychological and Epigenetic Predictors of Obesity & Metabolic Disease,PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$180,700 ","$14,456 ","$195,156 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/17/25,PA-20-205
YALE UNIVERSITY,9420201,5F31NS132530-02,Training - Individual,11044980,"OHASHI, SARAH",78394111,Investigating the origin and role of the IgA+ B cell response to intracerebral hemorrhage,NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$48,974 ",,"$48,974 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/18/24,PA-21-051
YALE UNIVERSITY,9420201,5R00HD104924-04,RPGs - Non SBIR/STTR,11055452,"TANG, SHAOGENG",10995533,Cell Surface Receptor Recognition and Membrane Fusion in Mammalian Fertilization,MOLECULAR BIOPHYSICS & BIOCHEMISTRY,BIOCHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$192,458 ","$29,672 ","$222,130 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,1/21/25,PA-20-188
YALE UNIVERSITY,9420201,1F30DK142452-01,Training - Individual,11069009,"BUNDA, PATRICIA",16613034,Elucidating the role of cyclin G-associated kinase as a regulator of podocyte autophagy,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$33,958 ",,"$33,958 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/17/24,PA-23-260
YALE UNIVERSITY,9420201,1R37CA295952-01,RPGs - Non SBIR/STTR,11023784,"HAYMAN, THOMAS",16514832,Tumor-Targeted STING Agonism in Head and Neck Squamous Cell Carcinoma,,NONE,UNAVAILABLE,"$333,097 ","$166,141 ","$499,238 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,Domestic Higher Education,12/30/24,PA-20-185
YALE UNIVERSITY,9420201,1R13HL178276-01,Other Research-Related,11073170,"PERMAN, SARAH M",11070900,The Heart of the Matter: Prioritizing diversity and inclusivity in the Resuscitation Science Symposium 2024,EMERGENCY MEDICINE,EMERGENCY MEDICINE,SCHOOLS OF MEDICINE,"$10,000 ",$0 ,"$10,000 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/16/24,PA-24-141
YALE UNIVERSITY,9420201,5R21CA280372-02,RPGs - Non SBIR/STTR,11001570,"JOHNSON, CAROLINE HELEN",11685486,Identification of metabolic niches in African Americans with colorectal cancer,EPIDEMIOLOGY AND PUBLIC HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF MEDICINE,"$126,225 ","$85,202 ","$211,427 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/10/24,PAR-21-323
YALE UNIVERSITY,9420201,5R01AI182086-02,RPGs - Non SBIR/STTR,11007217,"HATZIOS, STAVROULA",10866655,Chemoproteomic discovery and functional characterization of infection-induced oxidation sites,"MOLECULAR, CELLULAR AND DEV BIOL",BIOCHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$423,775 ","$236,562 ","$660,337 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,11/26/24,PA-20-185
YALE UNIVERSITY,9420201,1F31ES037182-01,Training - Individual,11066847,"SHINE, MORGAN ASHLEIGH",78717635,Regulation of co- and post-transcriptional pre-mRNA processing in response to environmental stress in green algae,,NONE,UNAVAILABLE,"$48,974 ",,"$48,974 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,Domestic Higher Education,12/11/24,PA-23-271
YALE UNIVERSITY,9420201,5R01CA269349-03,RPGs - Non SBIR/STTR,11011345,"KLUGER, HARRIET M.",6671108,Dual-isotope SPECT imaging and immunophenotyping of immune cells to determine response to immunotherapy,CANCER CENTER,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$369,218 ","$249,223 ","$618,441 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/22/25,PA-20-185
YALE UNIVERSITY,9420201,5R01LM013712-08,RPGs - Non SBIR/STTR,11003369,"OHNO-MACHADO, LUCILA",1900244,Decentralized differentially-private methods for dynamic data release and analysis,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$431,323 ","$109,292 ","$540,615 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/15/25,PA-20-185
YALE UNIVERSITY,9420201,1R35GM156405-01,RPGs - Non SBIR/STTR,11011190,"CHANG, SANDY S",1870772,"Mechanisms regulating telomere length, protection and replication",LABORATORY MEDICINE,PATHOLOGY,SCHOOLS OF MEDICINE,"$241,667 ","$163,125 ","$404,792 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/21/25,PAR-22-180
YALE UNIVERSITY,9420201,2R35CA197574-08A1,RPGs - Non SBIR/STTR,10972722,"GLAZER, PETER M",1871634,Targeting DNA Repair for Cancer Therapy.,THERAPEUTIC RADIOLOGY,RADIATION-DIAGNOSTIC/ONCOLOGY,SCHOOLS OF MEDICINE,"$600,000 ","$405,000 ","$1,005,000 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/21/25,RFA-CA-22-045
YALE UNIVERSITY,9420201,5U24NS129500-03,Other Research-Related,11010865,"D'ONOFRIO, GAIL",6098032,Yale-METRO Metropolitan Emergency Trial netwoRK to advance patient Outcomes,EMERGENCY MEDICINE,EMERGENCY MEDICINE,SCHOOLS OF MEDICINE,"$267,151 ","$104,749 ","$371,900 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/24/25,RFA-NS-22-015
YALE UNIVERSITY,9420201,5R01EY032555-04,RPGs - Non SBIR/STTR,11017065,"NANDY, ANIRVAN S.",10975492,Neural Mechanisms of Visual Crowding,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$263,708 ","$175,978 ","$439,686 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PA-20-185
YALE UNIVERSITY,9420201,1F32GM154398-01A1,Training - Individual,11066728,"PETERSON, PAUL OLIVER",15765573,Development of Metallopeptides for Site-Selective Transformations of the Antibiotic Thiostrepton,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$73,828 ",,"$73,828 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,12/23/24,PA-23-262
YALE UNIVERSITY,9420201,5R01AG074657-04,RPGs - Non SBIR/STTR,10993210,"GRUTZENDLER, JAIME",8351570,Mechanisms of axonal protection by astrocytes and microglia inAlzheimer disease,NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$337,473 ","$227,794 ","$565,267 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/29/24,PA-20-185
YALE UNIVERSITY,9420201,5K08HL157727-04,Other Research-Related,11001500,"MURUGIAH, KARTHIK",16508999,Automated ascertainment of bleeding and target lesion revascularization after percutaneous coronary intervention (PCI) using electronic health record (EHR) data,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$154,500 ","$12,360 ","$166,860 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PA-20-203
YALE UNIVERSITY,9420201,5R01AI182061-02,RPGs - Non SBIR/STTR,11032861,"MEDZHITOV, RUSLAN",6110255,Role of IgE in Homeostasis and Disease,IMMUNOBIOLOGY,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$469,601 ","$316,981 ","$786,582 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/18/24,PA-20-185
YALE UNIVERSITY,9420201,5R01DK135645-02,RPGs - Non SBIR/STTR,11012832,"SHULMAN, GERALD I",1863651,"Targeting hepatic mitochondrial oxidation to treat NAFLD, NASH and type 2 diabetes",INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$386,392 ","$260,815 ","$647,207 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/31/24,PA-20-183
YALE UNIVERSITY,9420201,5R01AG071528-04,RPGs - Non SBIR/STTR,11015830,"ESSERMAN, DENISE",9763762,Enhancing the Efficiency of Pragmatic Clinical Trials Using Administrative Data: Analysis of the STRIDE Study,EPIDEMIOLOGY AND PUBLIC HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF MEDICINE,"$359,443 ","$119,173 ","$478,616 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/17/25,PA-20-185
YALE UNIVERSITY,9420201,5K99DC021743-02,Other Research-Related,11026389,"TALROSS, GAˌLE J.S.",12256843,A new dimension to the olfactory system: long non-coding (lnc)RNAs and a lncRNA-encoded micropeptide,"MOLECULAR, CELLULAR AND DEV BIOL",BIOCHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$112,706 ","$9,016 ","$121,722 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,1/17/25,PA-20-188
YALE UNIVERSITY,9420201,5F31AI176650-02,Training - Individual,11002280,"GRUNST, MICHAEL WILLIAM",78726052,In situ structures of SARS-CoV-2 Spike fusion intermediates and Spike-antibody-Fc receptor complexes,MICROBIAL PATHOGENESIS,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$33,952 ",,"$33,952 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/16/24,PA-21-051
YALE UNIVERSITY,9420201,1P01HL169168-01A1,RPGs - Non SBIR/STTR,11015428,"HUMPHREY, JAY D.",1950356,Dynamic Cell-Matrix Interactions Dictate Thoracic Aortopathy,BIOMEDICAL ENGINEERING,ENGINEERING (ALL TYPES),BIOMED ENGR/COL ENGR/ENGR STA,"$1,667,720 ","$840,375 ","$2,508,095 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,BIOMED ENGR/COL ENGR/ENGR STA,1/15/25,PAR-24-065
YALE UNIVERSITY,9420201,3R01HL162629-03S1,RPGs - Non SBIR/STTR,11251859,"CHIOCCIOLI, MAURIZIO",16469098,Defining the cellular dynamics that orchestrate alveolar epithelial cell repair behaviors in live mammal,COMPARATIVE MEDICINE,VETERINARY SCIENCES,SCHOOLS OF MEDICINE,"$85,737 ","$57,872 ","$143,609 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/9/25,PAR-21-038
YALE UNIVERSITY,9420201,5R01CA266757-04,RPGs - Non SBIR/STTR,11005755,"HAFLER, DAVID A.",1877832,Targeting T cell dysfunction in glioblastoma: A proof-of-concept Phase 0/I trial of anti-TIGIT antibody AB154 in combination with anti-PD1 antibody AB122,NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$373,489 ","$240,932 ","$614,421 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/1/25,PAR-21-033
YALE UNIVERSITY,9420201,1R01AG085824-01A1,RPGs - Non SBIR/STTR,11072693,"FERGUSON, SHAWN",10868300,Moving and shaping neuronal lysosomes in Alzheimer's Disease,CELL BIOLOGY,ANATOMY/CELL BIOLOGY,SCHOOLS OF MEDICINE,"$362,101 ","$243,385 ","$605,486 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/30/24,PA-20-185
YALE UNIVERSITY,9420201,1R01CA288833-01A1,RPGs - Non SBIR/STTR,11048491,"DE FEYTER, HENK",10309744,"Single-scan, multi-contrast imaging of glucose metabolism in patients with glioblastoma",SOCIAL AND BEHAVIORAL SCIENCES,SOCIAL SCIENCES,SCHOOLS OF PUBLIC HEALTH,"$409,012 ","$268,789 ","$677,801 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,1/2/25,PA-20-185
YALE UNIVERSITY,9420201,5R01ES032712-05,RPGs - Non SBIR/STTR,11019812,"VASILIOU, VASILIS",1865415,Understanding and Enhancing PFAS Phytoremediation Mechanisms Using Novel Nanomaterials,EPIDEMIOLOGY AND PUBLIC HEALTH,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF MEDICINE,"$137,496 ","$12,504 ","$150,000 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/16/25,RFA-ES-20-004
YALE UNIVERSITY,9420201,5R37NS045876-21,RPGs - Non SBIR/STTR,10991697,"JONAS, ELIZABETH ANN",8214492,Mitochondrial Ion Channels in Hypoxic Neurons,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$260,754 ","$122,357 ","$383,111 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/10/24,PA-20-185
YALE UNIVERSITY,9420201,5R01AI171980-04,RPGs - Non SBIR/STTR,11000807,"KONNIKOVA, LIZA",11466059,Function of T cells at the Maternal-Fetal Interface,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$399,240 ","$224,775 ","$624,015 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/10/24,PA-20-185
YALE UNIVERSITY,9420201,2R01MH118453-06A1,RPGs - Non SBIR/STTR,11048424,"VACCARINO, FLORA M",1907676,Neurodevelopment of Tourette syndrome,CHILD STUDY CENTER,PSYCHIATRY,SCHOOLS OF MEDICINE,"$529,300 ","$321,314 ","$850,614 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/19/24,PA-20-185
YALE UNIVERSITY,9420201,5K08HL155888-04,Other Research-Related,10992676,"STENDAHL, JOHN C",12329845,Targeted delivery of nanomedicines to the coronary microvasculature during ex vivo normothermic perfusion of marginal human hearts,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$150,097 ","$12,008 ","$162,105 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/26/24,PA-20-203
YALE UNIVERSITY,9420201,5F31DK137452-02,Training - Individual,11094720,"ZAGOREN, ELEANOR",78318056,Fate Specification of CFTR High Expresser Cells in the Intestine,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$33,922 ",,"$33,922 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/15/25,PA-21-051
YALE UNIVERSITY,9420201,5R35GM144105-04,RPGs - Non SBIR/STTR,11009517,"MAYER, JAMES M",1955171,Coupled Transfers of Electrons and Protons,CHEMISTRY,CHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$225,000 ","$151,875 ","$376,875 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,12/4/24,PAR-19-367
YALE UNIVERSITY,9420201,5R01HL162629-03,RPGs - Non SBIR/STTR,10994146,"CHIOCCIOLI, MAURIZIO",16469098,Defining the cellular dynamics that orchestrate alveolar epithelial cell repair behaviors in live mammal,COMPARATIVE MEDICINE,VETERINARY SCIENCES,SCHOOLS OF MEDICINE,"$313,740 ","$63,788 ","$377,528 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/7/25,PAR-21-038
YALE UNIVERSITY,9420201,1R01MH138291-01,RPGs - Non SBIR/STTR,11009810,"DAMISAH, EYIYEMISI",15536698,Dorsal Anterior Cingulate and Anterior Insula computations during threat avoidance in Humans,NEUROSURGERY,NEUROSURGERY,SCHOOLS OF MEDICINE,"$250,000 ","$168,750 ","$418,750 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/31/25,PAR-22-181
YALE UNIVERSITY,9420201,5F31HL168920-02,Training - Individual,10988248,"X, SHAKA",78464252,Contribution of Endothelial Planar Cell Polarity pathways in Blood Flow Direction Sensing,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$48,974 ",,"$48,974 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PA-21-052
YALE UNIVERSITY,9420201,5R21AI178097-02,RPGs - Non SBIR/STTR,11013339,"CRAFT, JOSEPH EDGAR",1866610,Atypical B Cells: Origin and Autoreactivity,INTERNAL MEDICINE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$121,250 ","$81,844 ","$203,094 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/19/24,PA-20-195
YALE UNIVERSITY,9420201,5R01NS130189-03,RPGs - Non SBIR/STTR,11001554,"DE HAVENON, ADAM H.",12257624,Blood Pressure Variability and Ischemic Stroke Outcome (BP-VISO),NEUROLOGY,NEUROLOGY,SCHOOLS OF MEDICINE,"$359,871 ","$110,921 ","$470,792 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/26/24,PA-20-185
YALE UNIVERSITY,9420201,5R01NS132868-02,RPGs - Non SBIR/STTR,11003742,"BAGRIANTSEV, SVIATOSLAV",11084215,Molecular mechanisms of somatosensory adaptation to prolonged hypothermia,CELLULAR AND MOLECULAR PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$293,393 ","$197,267 ","$490,660 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/22/24,PA-20-185
YALE UNIVERSITY,9420201,1R01HL176850-01,RPGs - Non SBIR/STTR,11019948,"CREWS, CRAIG M",7093779,Targeted protein degraders for the treatment of b-hemoglobinopathies,"MOLECULAR, CELLULAR AND DEV BIOL",BIOCHEMISTRY,GRADUATE SCHOOLS,"$557,845 ","$207,777 ","$765,622 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,GRADUATE SCHOOLS,12/31/24,PA-20-185
YALE UNIVERSITY,9420201,1R01MH138347-01,RPGs - Non SBIR/STTR,11023241,"CONSTABLE, R TODD",1861121,Understanding Circuit Dysfunction in Post-Acute Sequelae of SARS-CoV-2 Infection,BIOMEDICAL INFORMATICS AND DATA SCIENCE,INTERNAL MEDICINE/MEDICINE,SCHOOLS OF MEDICINE,"$482,203 ","$314,954 ","$797,157 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/27/24,RFA-NS-23-021
YALE UNIVERSITY,9420201,1R01ES036436-01A1,RPGs - Non SBIR/STTR,11073310,"BELL, MICHELLE L",8518531,Mortality and hospital admissions risks from fine particulate matter by source sector and fuel: A national analysis,ENVIRONMENTAL HEALTH SCIENCES,PUBLIC HEALTH & PREV MEDICINE,SCHOOLS OF PUBLIC HEALTH,"$540,785 ","$161,579 ","$702,364 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF PUBLIC HEALTH,1/1/25,PA-20-185
YALE UNIVERSITY,9420201,5R21MH133370-02,RPGs - Non SBIR/STTR,10983346,"HOFFMAN, ELLEN J",10083938,Functional Analysis of 3q29 Microdeletion Syndrome Driver Genes,CHILD STUDY CENTER,PSYCHIATRY,SCHOOLS OF MEDICINE,"$112,911 ","$65,791 ","$178,702 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,11/21/24,PA-21-235
YALE UNIVERSITY,9420201,5R01DC011697-22,RPGs - Non SBIR/STTR,11003664,"CARLSON, JOHN R",1880992,Analysis of a Large Family of Candidate Taste Receptors,"MOLECULAR, CELLULAR AND DEV BIOL",BIOCHEMISTRY,SCHOOLS OF ARTS AND SCIENCES,"$225,000 ","$149,928 ","$374,928 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF ARTS AND SCIENCES,12/16/24,PA-20-185
YALE UNIVERSITY,9420201,5R01MH122678-05,RPGs - Non SBIR/STTR,11012376,"SESTAN, NENAD",7753308,1/2 Identification and Validation of Expression Quantitative Trait Loci (eQTLs) in discrete cell types across human brain development,NEUROSCIENCE,NEUROSCIENCES,SCHOOLS OF MEDICINE,"$347,753 ","$234,734 ","$582,487 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PAR-17-258
YALE UNIVERSITY,9420201,1R01HG013516-01A1,RPGs - Non SBIR/STTR,11049786,"GIRALDEZ, ANTONIO J",8787954,High throughput functional annotation of the impact of human UTR sequence variation on gene function and protein output,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$437,371 ","$242,507 ","$679,878 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,1/30/25,PA-20-185
YALE UNIVERSITY,9420201,5R01AA030136-03,RPGs - Non SBIR/STTR,11000862,"FUCITO, LISA M",8619862,"Deep Phenotyping of Heavy Drinking in Young Adults with Behavioral Scales, Neuropsychological Tasks, and Smartphone Sensing Technology",PSYCHIATRY,PSYCHIATRY,SCHOOLS OF MEDICINE,"$454,951 ","$133,785 ","$588,736 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/20/24,PA-20-185
YALE UNIVERSITY,9420201,1R01CA296916-01,RPGs - Non SBIR/STTR,11024645,"MUZUMDAR, MANDAR DEEPAK",11474116,Targeting pancreatic endocrine-exocrine signaling in cancer development with incretin mimetics,,NONE,UNAVAILABLE,"$413,910 ","$279,165 ","$693,075 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,Domestic Higher Education,1/23/25,PAR-23-279
YALE UNIVERSITY,9420201,5R01AI181308-02,RPGs - Non SBIR/STTR,10984992,"LU, JUN",9761842,The role of cell surface RNAs in neutrophils,GENETICS,GENETICS,SCHOOLS OF MEDICINE,"$429,510 ","$235,802 ","$665,312 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/3/24,PA-20-185
YALE UNIVERSITY,9420201,1R21CA294038-01A1,RPGs - Non SBIR/STTR,11056583,"BERRO, JULIEN",10699224,Synthetic Mechano-Transduction For Improved Cell Therapies In Immuno-Oncology,,NONE,UNAVAILABLE,"$116,875 ","$78,891 ","$195,766 ",3,NEW HAVEN,CONNECTICUT,6520,,YALE UNIVERSITY SCH OF MEDICINE,Domestic Higher Education,12/19/24,PAR-22-090
YALE UNIVERSITY,9420201,5K08DK133687-02,Other Research-Related,11017048,"OLALOYE, OLUWABUNMI",16239948,Epithelial-immune interactions in neonates with Spontaneous Intestinal Perforation,PEDIATRICS,PEDIATRICS,SCHOOLS OF MEDICINE,"$155,300 ","$11,984 ","$167,284 ",3,NEW HAVEN,CONNECTICUT,6520,Y,YALE UNIVERSITY SCH OF MEDICINE,SCHOOLS OF MEDICINE,12/18/24,PA-20-203
